"","temperature","luminosity","radius","magnitude","type","color","spectral_class"
"97",5112,0.63,0.876,4.68,"Main Sequence","Orange-Red","K"
"98",7720,7.92,1.34,2.44,"Main Sequence","White-Yellow","F"
"99",12098,689,7.01,0.02,"Main Sequence","Blue-White","A"
"100",36108,198000,10.2,-4.4,"Main Sequence","Blue","O"
"101",33300,240000,12,-6.5,"Supergiant","Blue","B"
"102",40000,813000,14,-6.23,"Supergiant","Blue","O"
"103",23000,127000,36,-5.76,"Supergiant","Blue","O"
"104",17120,235000,83,-6.89,"Supergiant","Blue","O"
"105",11096,112000,12,-5.91,"Supergiant","Blue","O"
"106",14245,231000,42,-6.12,"Supergiant","Blue","O"
"107",24630,363000,63,-5.83,"Supergiant","Blue","O"
"108",12893,184000,36,-6.34,"Supergiant","Blue","O"
"109",24345,142000,57,-6.24,"Supergiant","Blue","O"
"110",33421,352000,67,-5.79,"Supergiant","Blue","O"
"111",3459,1e+05,1289,-10.7,"Hypergiant","Red","M"
"112",3605,126000,1124,-10.81,"Hypergiant","Red","M"
"113",3615,2e+05,1635,-11.33,"Hypergiant","Red","M"
"114",3399,117000,1486,-10.92,"Hypergiant","Red","M"
"115",3610,132000,1522,-10.86,"Hypergiant","Red","M"
"116",3553,145000,1324,-11.03,"Hypergiant","Red","M"
"117",4015,282000,1534,-11.39,"Hypergiant","Red","K"
"118",3625,74000,876,-10.25,"Hypergiant","Red","M"
"119",6850,229000,1467,-10.07,"Hypergiant","Red","G"
"120",3780,2e+05,1324,-10.7,"Hypergiant","Red","M"
"121",3323,0.00043,0.0912,17.16,"Brown Dwarf","Red","M"
"122",3531,0.00093,0.0976,19.94,"Brown Dwarf","Red","M"
"123",3218,0.00054,0.11,20.02,"Brown Dwarf","Red","M"
"124",3146,0.00015,0.0932,16.92,"Brown Dwarf","Red","M"
"125",3511,0.00064,0.109,17.12,"Brown Dwarf","Red","M"
"126",3225,0.00076,0.121,19.63,"Brown Dwarf","Red","M"
"127",2935,0.00087,0.0932,16.88,"Brown Dwarf","Red","M"
"128",2861,0.00019,0.0899,16.71,"Brown Dwarf","Red","M"
"129",2856,0.000896,0.0782,19.56,"Brown Dwarf","Red","M"
"130",2731,0.000437,0.0856,18.09,"Brown Dwarf","Red","M"
"131",3095,0.00019,0.492,10.87,"Red Dwarf","Red","M"
"132",3607,0.00023,0.38,10.34,"Red Dwarf","Red","M"
"133",3100,0.008,0.31,11.17,"Red Dwarf","Red","M"
"134",2989,0.0087,0.34,13.12,"Red Dwarf","Red","M"
"135",3542,9e-04,0.62,14.23,"Red Dwarf","Red","M"
"136",3243,0.0023,0.73,14.75,"Red Dwarf","Red","M"
"137",3091,0.0081,0.24,11.43,"Red Dwarf","Red","M"
"138",3598,0.0011,0.56,14.26,"Red Dwarf","Red","M"
"139",3324,0.0034,0.34,12.23,"Red Dwarf","Red","M"
"140",3541,0.0013,0.256,14.33,"Red Dwarf","Red","M"
"141",13420,0.00059,0.00981,13.67,"White Dwarf","Blue-White","B"
"142",21020,0.0015,0.0112,11.52,"White Dwarf","Blue","B"
"143",18290,0.0013,0.00934,12.78,"White Dwarf","Blue","B"
"144",14520,0.00082,0.00972,11.92,"White Dwarf","Blue-White","B"
"145",11900,0.00067,0.00898,11.38,"White Dwarf","Blue-White","B"
"146",8924,0.00028,0.00879,14.87,"White Dwarf","Blue-White","A"
"147",12912,0.00071,0.00945,12.83,"White Dwarf","Blue-White","B"
"148",14732,0.00011,0.00892,12.89,"White Dwarf","White","F"
"149",7723,0.00014,0.00878,14.81,"White Dwarf","White","A"
"150",12984,0.00088,0.00996,11.23,"White Dwarf","Blue-White","B"
"151",29560,188000,6.02,-4.01,"Main Sequence","Blue-White","B"
"152",8945,38,2.487,0.12,"Main Sequence","Blue-White","A"
"153",14060,1092,5.745,-2.04,"Main Sequence","Blue-White","A"
"154",16390,1278,5.68,-3.32,"Main Sequence","Blue-White","B"
"155",25070,14500,5.92,-3.98,"Main Sequence","Blue-White","B"
"156",28700,16790,6.4,-4.09,"Main Sequence","Blue-White","B"
"157",26140,14520,5.49,-3.8,"Main Sequence","Blue-White","B"
"158",20120,4720,6.78,-3.4,"Main Sequence","Blue-White","B"
"159",13023,998,6.21,-1.38,"Main Sequence","Blue-White","A"
"160",37800,202900,6.86,-4.56,"Main Sequence","Blue","O"
"161",25390,223000,57,-5.92,"Supergiant","Blue","O"
"162",11567,251000,36,-6.245,"Supergiant","Blue","O"
"163",12675,452000,83,-5.62,"Supergiant","Blue","O"
"164",5752,245000,97,-6.63,"Supergiant","Blue","O"
"165",8927,239000,35,-7.34,"Supergiant","Blue","O"
"166",7282,131000,24,-7.22,"Supergiant","Blue","O"
"167",19923,152000,73,-5.69,"Supergiant","Blue","O"
"168",26373,198000,39,-5.83,"Supergiant","Blue","O"
"169",17383,342900,30,-6.09,"Supergiant","Blue","O"
"170",9373,424520,24,-5.99,"Supergiant","Blue","O"
"171",3570,320000,1480,-7.58,"Hypergiant","Red","M"
"172",3500,138000,1420,-8.18,"Hypergiant","Red","M"
"173",4287,630000,1315,-9.2,"Hypergiant","Orange","K"
"174",26000,316000,1679,-9.1,"Hypergiant","Blue","B"
"175",3600,240000,1190,-7.89,"Hypergiant","Red","M"
"176",3614,145000,1553,-7.71,"Hypergiant","Red","M"
"177",18000,2e+05,1045,-8.3,"Hypergiant","Blue","O"
"178",11000,170000,1779,-9.9,"Hypergiant","Blue-White","B"
"179",12100,120000,708.9,-7.84,"Hypergiant","Blue-White","B"
"180",24490,248490,1134.5,-8.24,"Hypergiant","Blue-White","B"
"181",2831,0.000231,0.0915,16.21,"Brown Dwarf","Red","M"
"182",2914,0.000631,0.116,18.39,"Brown Dwarf","Red","M"
"183",3419,0.000245,0.126,17.56,"Brown Dwarf","Red","M"
"184",3218,0.000452,0.0987,17.34,"Brown Dwarf","Red","M"
"185",3453,0.000621,0.0773,17.08,"Brown Dwarf","Red","M"
"186",2889,0.000352,0.0973,16.93,"Brown Dwarf","Red","M"
"187",2968,0.000461,0.119,17.45,"Brown Dwarf","Red","M"
"188",3484,0.000551,0.0998,16.67,"Brown Dwarf","Red","M"
"189",2778,0.000849,0.112,19.45,"Brown Dwarf","Red","M"
"190",3523,0.000957,0.129,16.35,"Brown Dwarf","Red","M"
"191",3462,0.0053,0.148,11.47,"Red Dwarf","Red","M"
"192",3257,0.0024,0.46,10.73,"Red Dwarf","Red","M"
"193",2994,0.0072,0.28,13.45,"Red Dwarf","Red","M"
"194",3212,0.0016,0.378,12.854,"Red Dwarf","Red","M"
"195",3523,0.0054,0.319,12.43,"Red Dwarf","Red","M"
"196",3598,0.0027,0.67,13.667,"Red Dwarf","Red","M"
"197",3142,0.00132,0.258,14.12,"Red Dwarf","Red","M"
"198",3496,0.00125,0.336,14.94,"Red Dwarf","Red","M"
"199",3324,0.0065,0.471,12.78,"Red Dwarf","Red","M"
"200",3463,0.0027,0.675,14.776,"Red Dwarf","Red","M"
"201",16790,0.0014,0.0121,12.87,"White Dwarf","Blue","B"
"202",15680,0.00122,0.0114,11.92,"White Dwarf","Blue","B"
"203",14982,0.00118,0.0113,12.23,"White Dwarf","Blue","B"
"204",13340,0.00109,0.0116,12.9,"White Dwarf","Blue","B"
"205",18340,0.00134,0.0124,11.22,"White Dwarf","Blue","B"
"206",19920,0.00156,0.0142,11.34,"White Dwarf","Blue","B"
"207",24020,0.00159,0.0127,10.55,"White Dwarf","Blue","B"
"208",23092,0.00132,0.0104,10.18,"White Dwarf","Blue","B"
"209",17920,0.00111,0.0106,11.66,"White Dwarf","Blue","B"
"210",19360,0.00125,0.00998,11.62,"White Dwarf","Blue","B"
"211",22350,12450,6.36,-3.67,"Main Sequence","Blue-White","B"
"212",10012,552,5.856,0.013,"Main Sequence","Blue-White","A"
"213",13089,788,5.992,-0.12,"Main Sequence","Blue-White","A"
"214",22012,6748,6.64,-2.55,"Main Sequence","Blue-White","B"
"215",34190,198200,6.39,-4.57,"Main Sequence","Blue","O"
"216",32460,173800,6.237,-4.36,"Main Sequence","Blue","O"
"217",9320,29,1.91,1.236,"Main Sequence","Blue-White","A"
"218",19400,10920,6.03,-3.08,"Main Sequence","Blue-White","B"
"219",17140,883,5.653,-2.64,"Main Sequence","Blue-White","B"
"220",8250,9.25,1.93,-0.98,"Main Sequence","White-Yellow","F"
"221",23678,244290,35,-6.27,"Supergiant","Blue","O"
"222",12749,332520,76,-7.02,"Supergiant","Blue","O"
"223",9383,342940,98,-6.98,"Supergiant","Blue","O"
"224",23440,537430,81,-5.975,"Supergiant","Blue","O"
"225",16787,246730,62,-6.35,"Supergiant","Blue","O"
"226",18734,224780,46,-7.45,"Supergiant","Blue","O"
"227",9892,593900,80,-7.262,"Supergiant","Blue","O"
"228",10930,783930,25,-6.224,"Supergiant","Blue","O"
"229",23095,347820,86,-5.905,"Supergiant","Blue","O"
"230",21738,748890,92,-7.346,"Supergiant","Blue","O"
"231",24145,382993,1494,-8.84,"Hypergiant","Blue-White","B"
"232",38234,272830,1356,-9.29,"Hypergiant","Blue","O"
"233",32489,648430,1948.5,-10.84,"Hypergiant","Blue","O"
"234",27739,849420,1252,-7.59,"Hypergiant","Blue-White","B"
"235",21904,748490,1130,-7.67,"Hypergiant","Blue-White","B"
"236",38940,374830,1356,-9.93,"Hypergiant","Blue","O"
"237",30839,834042,1194,-10.63,"Hypergiant","Blue","O"
"238",8829,537493,1423,-10.73,"Hypergiant","White","A"
"239",9235,404940,1112,-11.23,"Hypergiant","White","A"
"240",37882,294903,1783,-7.8,"Hypergiant","Blue","O"
